u,T,q*,tau,hb,u(s),#,taut,tauc,Da
3.6,7.0,184,0.051,30,7.8,1,1419.3,188.4,7.5
3.6,10.3,103,0.051,30,7.8,2,874.7,122.8,7.1
3.6,10.3,184,0.051,30,7.8,3,1658.7,122.8,13.5
3.6,13.6,-59,0.051,113,7.8,4,518.2,82.8,6.3
3.6,13.6,103,0.051,30,7.8,5,847.4,82.8,10.2
3.6,13.6,184,0.051,30,7.8,6,1689.5,82.8,20.4
3.6,16.9,22,0.051,30,7.8,7,680.0,56.8,12.0
3.6,20.2,22,0.051,30,7.8,8,693.4,41.5,16.7
3.6,20.2,184,0.051,30,7.8,9,1423.9,41.5,34.3
3.6,23.4,-59,0.051,30,7.8,10,517.8,30.8,16.8
3.6,23.4,-59,0.051,72,7.8,11,508.4,30.8,16.5
3.6,23.4,22,0.051,30,7.8,12,643.0,30.8,20.9
3.6,23.4,103,0.051,30,7.8,13,698.8,30.8,22.7
3.6,23.4,184,0.051,30,7.8,14,1358.6,30.8,44.1
3.6,26.7,-59,0.051,30,7.8,15,525.1,23.5,22.3
3.6,26.7,-59,0.051,72,7.8,16,521.1,23.5,22.2
3.6,26.7,22,0.051,30,7.8,17,678.6,23.5,28.9
3.6,26.7,22,0.051,72,7.8,18,649.6,23.5,27.6
3.6,26.7,103,0.051,30,7.8,19,809.9,23.5,34.5
3.6,26.7,184,0.051,30,7.8,20,1660.9,23.5,70.7
3.6,30.0,22,0.051,30,7.8,21,609.8,18.4,33.1
3.6,30.0,103,0.051,30,7.8,22,791.3,18.4,43.0
3.6,30.0,184,0.051,30,7.8,23,1235.0,18.4,67.1
4.8,3.7,103,0.051,30,7.8,24,521.4,299.4,1.7
4.8,3.7,103,0.127,30,12.3,25,514.1,299.4,1.7
4.8,3.7,184,0.051,30,7.8,26,801.2,299.4,2.7
4.8,7.0,103,0.051,30,7.8,27,523.8,188.4,2.8
4.8,7.0,184,0.051,30,7.8,28,825.5,188.4,4.4
4.8,7.0,184,0.279,30,18.1,29,946.3,188.4,5.0
